name,brand,generation,tdp,cables,vram,pcie,year
GeForce RTX 2080 SUPER,4,Turing,250.0,1x 6-pin + 1x 8-pin,8.0,PCIe 3.0 x16,2019
Jetson Nano,4,Maxwell 2.0,10.0,,4.0,PCIe 2.0 x4,2019
P106M,4,Pascal,75.0,,4.0,PCIe 3.0 x16,2019
Quadro P2200,4,Pascal,75.0,,5.0,PCIe 3.0 x16,2019
Quadro P520 Max-Q,4,Pascal,18.0,,4.0,PCIe 3.0 x16,2019
Quadro P520 Mobile,4,Pascal,18.0,,2.0,PCIe 3.0 x16,2019
Quadro RTX 3000 Max-Q,4,Turing,60.0,,6.0,PCIe 3.0 x16,2019
Quadro RTX 3000 Mobile,4,Turing,80.0,,6.0,PCIe 3.0 x16,2019
Quadro RTX 3000 X2 Mobile,4,Turing,160.0,,6.0,PCIe 3.0 x16,2019
Quadro RTX 4000 Mobile,4,Turing,110.0,,8.0,PCIe 3.0 x16,2019
Quadro RTX 5000 Max-Q,4,Turing,80.0,,16.0,PCIe 3.0 x16,2019
Quadro RTX 5000 Mobile,4,Turing,110.0,,16.0,PCIe 3.0 x16,2019
Quadro RTX 6000 Mobile,4,Turing,,,24.0,PCIe 3.0 x16,2019
Quadro T1000 Max-Q,4,Turing,50.0,,4.0,PCIe 3.0 x16,2019
Quadro T2000 Max-Q,4,Turing,40.0,,4.0,PCIe 3.0 x16,2019
Quadro T2000 Mobile,4,Turing,60.0,,4.0,PCIe 3.0 x16,2019
Switch GPU 16nm,4,Maxwell 2.0,15.0,,4.0,,2019
Tesla PG500-216,4,Volta,250.0,,32.0,PCIe 3.0 x16,2019
Tesla V100S PCIe 32 GB,4,Volta,250.0,2x 8-pin,32.0,PCIe 3.0 x16,2019
Radeon 610 Mobile,0,GCN 1.0,50.0,,2.0,PCIe 3.0 x8,2019
Radeon 620 Mobile,0,GCN 3.0,50.0,,2.0,PCIe 3.0 x8,2019
Radeon 625 OEM,0,GCN 3.0,35.0,,2.0,PCIe 3.0 x8,2019
Radeon E9390 PCIe,0,GCN 4.0,75.0,,8.0,PCIe 3.0 x16,2019
Radeon E9560 PCIe,0,GCN 4.0,130.0,1x 6-pin,8.0,PCIe 3.0 x16,2019
Radeon Pro 5300M,0,RDNA 1.0,85.0,,4.0,PCIe 4.0 x8,2019
Radeon Pro 5500M,0,RDNA 1.0,85.0,,8.0,PCIe 4.0 x8,2019
Radeon Pro 570X,0,GCN 4.0,150.0,,4.0,PCIe 3.0 x16,2019
Radeon Pro 580X,0,GCN 4.0,185.0,,8.0,Apple MPX,2019
Radeon Pro Vega 48,0,GCN 5.0,,,8.0,PCIe 3.0 x16,2019
Radeon Pro Vega 64X,0,GCN 5.0,250.0,,16.0,PCIe 3.0 x16,2019
Radeon Pro Vega II,0,GCN 5.1,475.0,,32.0,Apple MPX,2019
Radeon Pro W5500X,0,RDNA 1.0,125.0,,8.0,Apple MPX,2019
Radeon Pro W5700,0,RDNA 1.0,205.0,1x 6-pin + 1x 8-pin,8.0,PCIe 4.0 x16,2019
Radeon Pro W5700X,0,RDNA 1.0,205.0,,16.0,Apple MPX,2019
Radeon Pro WX 3200,0,GCN 4.0,65.0,,4.0,PCIe 3.0 x8,2019
Radeon R7 350 640SP,0,GCN 1.0,55.0,,2.0,PCIe 3.0 x16,2019
Radeon RX 5300 XT OEM,0,RDNA 1.0,100.0,1x 6-pin,4.0,PCIe 4.0 x8,2019
Radeon RX 5300M,0,RDNA 1.0,85.0,,3.0,PCIe 4.0 x8,2019
Radeon RX 5500 OEM,0,RDNA 1.0,110.0,1x 8-pin,4.0,PCIe 4.0 x8,2019
Radeon RX 5500 XT,0,RDNA 1.0,130.0,1x 8-pin,4.0,PCIe 4.0 x8,2019
Radeon RX 560 XT,0,GCN 4.0,150.0,1x 6-pin,4.0,PCIe 3.0 x16,2019
Radeon RX 5700,0,RDNA 1.0,180.0,1x 6-pin + 1x 8-pin,8.0,PCIe 4.0 x16,2019
Radeon RX 5700 XT,0,RDNA 1.0,225.0,1x 6-pin + 1x 8-pin,8.0,PCIe 4.0 x16,2019
Radeon VII,0,GCN 5.1,295.0,2x 8-pin,16.0,PCIe 3.0 x16,2019
Iris Plus Graphics 645 Mobile,2,Generation 9.5,15.0,,,Ring Bus,2019
Iris Plus Graphics G4 48EU Mobile,2,Generation 11.0,15.0,,,Ring Bus,2019
UHD Graphics 24EU Mobile,2,Generation 12.2,15.0,,,Ring Bus,2022
A100 PCIe 40 GB,4,Ampere,250.0,8-pin EPS,40.0,PCIe 4.0 x16,2020
A100 SXM4 40 GB,4,Ampere,400.0,,40.0,PCIe 4.0 x16,2020
A100 SXM4 80 GB,4,Ampere,400.0,,80.0,PCIe 4.0 x16,2020
A40 PCIe,4,Ampere,300.0,8-pin EPS,48.0,PCIe 4.0 x16,2020
CMP 100HX-210,4,Volta,250.0,1x 6-pin + 1x 8-pin,16.0,PCIe 1.0 x1,2020
DRIVE A100 PROD,4,Ampere,400.0,,32.0,PCIe 4.0 x16,2020
GeForce GTX 1650 GDDR6,4,Turing,75.0,,4.0,PCIe 3.0 x16,2020
GeForce GTX 1650 TU106,4,Turing,90.0,1x 6-pin,4.0,PCIe 3.0 x16,2020
GeForce GTX 1650 TU116,4,Turing,80.0,,4.0,PCIe 3.0 x16,2020
GeForce MX330,4,Pascal,10.0,,2.0,PCIe 3.0 x4,2020
GeForce MX350,4,Pascal,20.0,,2.0,PCIe 3.0 x4,2020
GeForce MX450 12W,4,Turing,12.0,,2.0,PCIe 4.0 x4,2020
GeForce MX450 30.5W 10Gbps,4,Turing,31.0,,2.0,PCIe 4.0 x4,2020
GeForce RTX 2060 Max-Q,4,Turing,65.0,,6.0,PCIe 3.0 x16,2020
GeForce RTX 2060 TU104,4,Turing,160.0,1x 8-pin,6.0,PCIe 3.0 x16,2020
GeForce RTX 2070 Max-Q Refresh,4,Turing,115.0,,8.0,PCIe 3.0 x16,2020
GeForce RTX 2070 SUPER Max-Q,4,Turing,80.0,,8.0,PCIe 3.0 x16,2020
GeForce RTX 2080 SUPER Mobile,4,Turing,150.0,,8.0,PCIe 3.0 x16,2020
GeForce RTX 3060 Ti,4,Ampere,200.0,1x 12-pin,8.0,PCIe 4.0 x16,2020
GeForce RTX 3070,4,Ampere,220.0,1x 12-pin,8.0,PCIe 4.0 x16,2020
GeForce RTX 3080,4,Ampere,320.0,1x 12-pin,10.0,PCIe 4.0 x16,2020
GeForce RTX 3090,4,Ampere,350.0,1x 12-pin,24.0,PCIe 4.0 x16,2020
GRID A100B,4,Ampere,400.0,,48.0,PCIe 4.0 x16,2020
GRID RTX T10-2,4,Turing,150.0,1x 6-pin + 1x 8-pin,2.0,PCIe 3.0 x16,2020
GRID RTX T10-4,4,Turing,150.0,1x 6-pin + 1x 8-pin,4.0,PCIe 3.0 x16,2020
Jetson Xavier NX 16 GB,4,Volta,20.0,,16.0,PCIe 4.0 x4,2020
Jetson Xavier NX 8 GB,4,Volta,15.0,,8.0,PCIe 4.0 x4,2020
Quadro RTX 5000 Mobile Refresh,4,Turing,110.0,,16.0,PCIe 3.0 x16,2020
T500 Max-Q,4,Turing,18.0,,4.0,PCIe 3.0 x16,2020
Tesla T10 16 GB,4,Turing,150.0,1x 8-pin,16.0,PCIe 3.0 x16,2020
AeroBox GPU,0,GCN 1.0,100.0,,8.0,,2020
Atari VCS 400 GPU,0,GCN 5.0,15.0,,4.0,,2020
Atari VCS 800 GPU,0,GCN 5.0,15.0,,8.0,,2020
Playstation 5 GPU,0,RDNA 2.0,180.0,,16.0,,2022
Radeon Graphics 320SP Mobile,0,GCN 5.1,15.0,,,IGP,2020
Radeon Graphics 384SP Mobile,0,GCN 5.1,45.0,,,IGP,2021
Radeon Graphics 448SP Mobile,0,GCN 5.1,45.0,,,IGP,2022
Radeon Instinct MI100,0,CDNA 1.0,300.0,2x 8-pin,32.0,PCIe 4.0 x16,2020
Radeon Pro 5300,0,RDNA 1.0,85.0,,4.0,PCIe 4.0 x8,2020
Radeon Pro 5500 XT,0,RDNA 1.0,125.0,,8.0,PCIe 4.0 x8,2020
Radeon Pro 5600M,0,RDNA 1.0,50.0,,8.0,PCIe 4.0 x16,2020
Radeon Pro 5700,0,RDNA 1.0,130.0,,8.0,PCIe 4.0 x16,2020
Radeon Pro 5700 XT,0,RDNA 1.0,130.0,,16.0,PCIe 4.0 x16,2020
Radeon Pro V520,0,RDNA 1.0,225.0,1x 8-pin,8.0,PCIe 4.0 x16,2020
Radeon Pro VII,0,GCN 5.1,250.0,1x 6-pin + 1x 8-pin,16.0,PCIe 4.0 x16,2020
Radeon Pro W5500,0,RDNA 1.0,125.0,1x 6-pin,8.0,PCIe 4.0 x8,2020
Radeon RX 5300 OEM,0,RDNA 1.0,100.0,1x 6-pin,3.0,PCIe 4.0 x8,2020
Radeon RX 5600 OEM,0,RDNA 1.0,125.0,1x 8-pin,6.0,PCIe 4.0 x16,2020
Radeon RX 5600 XT,0,RDNA 1.0,150.0,1x 8-pin,6.0,PCIe 4.0 x16,2020
Radeon RX 5600M,0,RDNA 1.0,150.0,,6.0,PCIe 4.0 x16,2020
Radeon RX 5700M,0,RDNA 1.0,180.0,1x 6-pin + 1x 8-pin,8.0,PCIe 4.0 x16,2020
Radeon RX 590 GME,0,GCN 4.0,175.0,1x 8-pin,8.0,PCIe 3.0 x16,2020
Radeon RX 640 OEM,0,GCN 4.0,50.0,,4.0,PCIe 3.0 x8,2020
Radeon RX 6800,0,RDNA 2.0,250.0,2x 8-pin,16.0,PCIe 4.0 x16,2020
Radeon RX 6800 XT,0,RDNA 2.0,300.0,2x 8-pin,16.0,PCIe 4.0 x16,2020
Xbox Series S GPU,0,RDNA 2.0,100.0,,8.0,,2020
Xbox Series X GPU,0,RDNA 2.0,200.0,,10.0,,2020
H3C XG310,2,Generation 12.1,300.0,1x 8-pin,8.0,PCIe 3.0 x16,2020
Iris Plus Graphics G7 64EU Mobile,2,Generation 11.0,15.0,,,Ring Bus,2020
Iris Xe Graphics G4 48EU Mobile,2,Generation 12.1,15.0,,,Ring Bus,2020
Iris Xe MAX Graphics,2,Generation 12.1,25.0,,4.0,PCIe 4.0 x8,2020
UHD Graphics 32EU Mobile,2,Generation 12.1,15.0,,,Ring Bus,2021
Xe DG1,2,Generation 12.1,30.0,,4.0,PCIe 4.0 x8,2020
A10 PCIe,4,Ampere,150.0,1x 8-pin,24.0,PCIe 4.0 x16,2021
A100 PCIe 80 GB,4,Ampere,300.0,8-pin EPS,80.0,PCIe 4.0 x16,2021
A100X,4,Ampere,300.0,1x 16-pin,80.0,PCIe 4.0 x8,2021
A10G,4,Ampere,150.0,8-pin EPS,24.0,PCIe 4.0 x16,2021
A16 PCIe,4,Ampere,250.0,8-pin EPS,16.0,PCIe 4.0 x8,2021
A2,4,Ampere,60.0,,16.0,PCIe 4.0 x8,2021
A30 PCIe,4,Ampere,165.0,8-pin EPS,24.0,PCIe 4.0 x16,2021
A30X,4,Ampere,230.0,1x 16-pin,24.0,PCIe 4.0 x8,2021
CMP 170HX 10 GB,4,Ampere,250.0,2x 8-pin,10.0,PCIe 1.0 x4,2021
CMP 170HX 8 GB,4,Ampere,250.0,2x 8-pin,8.0,PCIe 1.0 x4,2021
CMP 30HX,4,Turing,125.0,1x 8-pin,6.0,PCIe 1.0 x4,2021
CMP 40HX,4,Turing,185.0,1x 8-pin,8.0,PCIe 1.0 x4,2021
CMP 50HX,4,Turing,250.0,2x 8-pin,10.0,PCIe 1.0 x4,2021
CMP 70HX,4,Ampere,,1x 12-pin,8.0,PCIe 1.0 x4,2021
CMP 90HX,4,Ampere,320.0,2x 8-pin,10.0,PCIe 1.0 x4,2021
GeForce GT 1010,4,Pascal,30.0,,2.0,PCIe 3.0 x4,2021
GeForce GT 1010 DDR4,4,Pascal,20.0,,2.0,PCIe 3.0 x4,2021
GeForce MX550,4,Turing,25.0,,2.0,PCIe 4.0 x8,2021
GeForce MX570,4,Ampere,15.0,,2.0,PCIe 4.0 x8,2021
GeForce MX570 A,4,Ampere,25.0,,2.0,PCIe 4.0 x8,2021
GeForce RTX 2050 Max-Q,4,Ampere,30.0,,4.0,PCIe 3.0 x8,2021
GeForce RTX 2060 12 GB,4,Turing,184.0,1x 8-pin,12.0,PCIe 3.0 x16,2021
GeForce RTX 3050 Max-Q,4,Ampere,35.0,,4.0,PCIe 4.0 x8,2021
GeForce RTX 3050 Mobile,4,Ampere,45.0,,4.0,PCIe 4.0 x8,2021
GeForce RTX 3050 Ti Max-Q,4,Ampere,75.0,,4.0,PCIe 4.0 x8,2021
GeForce RTX 3050 Ti Mobile,4,Ampere,75.0,,4.0,PCIe 4.0 x16,2021
GeForce RTX 3060 12 GB,4,Ampere,170.0,1x 12-pin,12.0,PCIe 4.0 x16,2021
GeForce RTX 3060 3840SP,4,Ampere,185.0,1x 12-pin,6.0,PCIe 4.0 x16,2021
GeForce RTX 3060 Max-Q,4,Ampere,60.0,,6.0,PCIe 4.0 x16,2021
GeForce RTX 3060 Mobile,4,Ampere,80.0,,6.0,PCIe 4.0 x16,2021
GeForce RTX 3070 Max-Q,4,Ampere,80.0,,8.0,PCIe 4.0 x16,2021
GeForce RTX 3070 Mobile,4,Ampere,115.0,,8.0,PCIe 4.0 x16,2021
GeForce RTX 3070 Ti,4,Ampere,290.0,1x 12-pin,8.0,PCIe 4.0 x16,2021
GeForce RTX 3080 Ti,4,Ampere,350.0,1x 12-pin,12.0,PCIe 4.0 x16,2021
Quadro T1200 Max-Q,4,Turing,18.0,,4.0,PCIe 3.0 x16,2021
RTX A2000,4,Ampere,70.0,,6.0,PCIe 4.0 x16,2021
RTX A2000 12 GB,4,Ampere,70.0,,12.0,PCIe 4.0 x16,2021
RTX A2000 Max-Q,4,Ampere,95.0,,4.0,PCIe 4.0 x16,2021
RTX A2000 Max-Q 8 GB,4,Ampere,95.0,,8.0,PCIe 4.0 x16,2021
RTX A3000 Mobile 12 GB,4,Ampere,115.0,,12.0,PCIe 4.0 x16,2022
RTX A4 Mobile,4,Ampere,,,4.0,PCIe 4.0 x8,2021
RTX A4000,4,Ampere,140.0,1x 6-pin,16.0,PCIe 4.0 x16,2021
RTX A4500,4,Ampere,200.0,1x 8-pin,20.0,PCIe 4.0 x16,2021
RTX A500,4,Ampere,60.0,,4.0,PCIe 4.0 x8,2021
RTX A5000,4,Ampere,230.0,1x 8-pin,24.0,PCIe 4.0 x16,2021
RTX A5000 Max-Q,4,Ampere,80.0,,16.0,PCIe 4.0 x16,2021
RTX A5000 Mobile,4,Ampere,150.0,,16.0,PCIe 4.0 x16,2021
RTX A5000-12Q,4,Ampere,230.0,1x 8-pin,12.0,PCIe 4.0 x16,2021
RTX A5000-8Q,4,Ampere,230.0,1x 8-pin,8.0,PCIe 4.0 x16,2021
T1000,4,Turing,50.0,,4.0,PCIe 3.0 x16,2021
T1000 8 GB,4,Turing,50.0,,8.0,PCIe 3.0 x16,2021
T400,4,Turing,30.0,,2.0,PCIe 3.0 x16,2021
T400 4 GB,4,Turing,30.0,,4.0,PCIe 3.0 x16,2021
T600,4,Turing,40.0,,4.0,PCIe 3.0 x16,2021
Radeon Instinct MI200,0,CDNA 2.0,300.0,1x 8-pin,64.0,PCIe 4.0 x16,2021
Radeon Instinct MI250,0,CDNA 2.0,500.0,2x 8-pin,128.0,PCIe 4.0 x16,2021
Radeon PRO V620,0,RDNA 2.0,300.0,2x 8-pin,32.0,PCIe 4.0 x16,2021
Radeon PRO W6600,0,RDNA 2.0,100.0,1x 6-pin,8.0,PCIe 4.0 x8,2021
Radeon Pro W6600M,0,RDNA 2.0,90.0,,8.0,PCIe 4.0 x16,2021
Radeon Pro W6600X,0,RDNA 2.0,120.0,,8.0,Apple MPX,2021
Radeon PRO W6800,0,RDNA 2.0,250.0,1x 6-pin + 1x 8-pin,32.0,PCIe 4.0 x16,2021
Radeon Pro W6800X,0,RDNA 2.0,200.0,Apple MPX,32.0,Apple MPX,2021
Radeon Pro W6800X Duo,0,RDNA 2.0,400.0,,32.0,Apple MPX,2021
Radeon Pro W6900X,0,RDNA 2.0,300.0,,32.0,Apple MPX,2021
Radeon RX 6600,0,RDNA 2.0,132.0,1x 8-pin,8.0,PCIe 4.0 x8,2021
Radeon RX 6600 XT,0,RDNA 2.0,160.0,1x 8-pin,8.0,PCIe 4.0 x8,2021
Radeon RX 6600M,0,RDNA 2.0,100.0,,8.0,PCIe 4.0 x8,2021
Radeon RX 6700,0,RDNA 2.0,175.0,1x 8-pin,10.0,PCIe 4.0 x16,2021
Radeon RX 6700 XT,0,RDNA 2.0,230.0,1x 6-pin + 1x 8-pin,12.0,PCIe 4.0 x16,2021
Radeon RX 6700M,0,RDNA 2.0,135.0,,10.0,PCIe 4.0 x16,2021
Radeon RX 6800M,0,RDNA 2.0,145.0,,12.0,PCIe 4.0 x16,2021
Arctic Sound 1T,2,Generation 12.5,350.0,,16.0,PCIe 4.0 x16,2021
Arctic Sound 2T,2,Generation 12.5,500.0,,16.0,PCIe 4.0 x16,2021
UHD Graphics 730,2,Generation 12.2,15.0,,,Ring Bus,2023
A10M,4,Ampere,150.0,8-pin EPS,20.0,PCIe 4.0 x16,2022
A800 PCIe 40 GB,4,Ampere,250.0,8-pin EPS,40.0,PCIe 4.0 x16,2022
A800 PCIe 80 GB,4,Ampere,250.0,8-pin EPS,80.0,PCIe 4.0 x16,2022
A800 SXM4 80 GB,4,Ampere,400.0,,80.0,PCIe 4.0 x16,2022
GeForce GTX 1630,4,Turing,75.0,,4.0,PCIe 3.0 x16,2022
GeForce RTX 3050 4 GB,4,Ampere,90.0,1x 6-pin,4.0,PCIe 4.0 x8,2022
GeForce RTX 3050 8 GB,4,Ampere,130.0,1x 8-pin,8.0,PCIe 4.0 x8,2022
GeForce RTX 3050 8 GB GA107,4,Ampere,115.0,1x 6-pin,8.0,PCIe 4.0 x8,2022
GeForce RTX 3050 Max-Q Refresh 4 GB,4,Ampere,35.0,,4.0,PCIe 4.0 x8,2022
GeForce RTX 3050 Max-Q Refresh 6 GB,4,Ampere,35.0,,6.0,PCIe 4.0 x8,2022
GeForce RTX 3050 Mobile Refresh 4 GB,4,Ampere,45.0,,4.0,PCIe 4.0 x8,2022
GeForce RTX 3050 Mobile Refresh 6 GB,4,Ampere,75.0,,6.0,PCIe 4.0 x8,2022
GeForce RTX 3060 8 GB,4,Ampere,170.0,1x 12-pin,8.0,PCIe 4.0 x16,2022
GeForce RTX 3060 8 GB GA104,4,Ampere,195.0,1x 12-pin,8.0,PCIe 4.0 x16,2022
GeForce RTX 3060 Ti GA103,4,Ampere,200.0,1x 12-pin,8.0,PCIe 4.0 x16,2022
GeForce RTX 3060 Ti GDDR6X,4,Ampere,225.0,1x 12-pin,8.0,PCIe 4.0 x16,2022
GeForce RTX 3070 Ti 8 GB GA102,4,Ampere,290.0,1x 12-pin,8.0,PCIe 4.0 x16,2022
GeForce RTX 3070 Ti Max-Q,4,Ampere,80.0,,8.0,PCIe 4.0 x16,2022
GeForce RTX 3070 Ti Mobile,4,Ampere,115.0,,8.0,PCIe 4.0 x16,2022
GeForce RTX 3070 TiM,4,Ampere,220.0,1x 8-pin,8.0,PCIe 4.0 x16,2022
GeForce RTX 3080 12 GB,4,Ampere,350.0,1x 12-pin,12.0,PCIe 4.0 x16,2022
GeForce RTX 3080 Ti 20 GB,4,Ampere,350.0,1x 12-pin,20.0,PCIe 4.0 x16,2022
GeForce RTX 3080 Ti Max-Q,4,Ampere,80.0,,16.0,PCIe 4.0 x16,2022
GeForce RTX 3080 Ti Mobile,4,Ampere,115.0,,16.0,PCIe 4.0 x16,2022
GeForce RTX 3090 Ti,4,Ampere,450.0,1x 16-pin,24.0,PCIe 4.0 x16,2022
GeForce RTX 4080,4,Ada Lovelace,320.0,1x 16-pin,16.0,PCIe 4.0 x16,2022
GeForce RTX 4090,4,Ada Lovelace,450.0,1x 16-pin,24.0,PCIe 4.0 x16,2022
H100 PCIe 80 GB,4,Hopper,350.0,1x 16-pin,80.0,PCIe 5.0 x16,2022
H100 SXM5 80 GB,4,Hopper,700.0,,80.0,PCIe 5.0 x16,2022
L40,4,Ada Lovelace,300.0,1x 16-pin,48.0,PCIe 4.0 x16,2022
L40 CNX,4,Ada Lovelace,300.0,1x 16-pin,24.0,PCIe 4.0 x16,2022
RTX A1000 Mobile,4,Ampere,60.0,,4.0,PCIe 4.0 x8,2022
RTX A1000 Mobile 6 GB,4,Ampere,60.0,,6.0,PCIe 4.0 x8,2022
RTX A4500 Mobile,4,Ampere,140.0,,16.0,PCIe 4.0 x16,2022
RTX A500 Embedded,4,Ampere,20.0,,4.0,PCIe 4.0 x8,2022
RTX A500 Mobile,4,Ampere,30.0,,4.0,PCIe 4.0 x8,2022
RTX A5500,4,Ampere,230.0,1x 8-pin,24.0,PCIe 4.0 x16,2022
RTX A5500 Mobile,4,Ampere,165.0,,16.0,PCIe 4.0 x16,2022
T550 Mobile,4,Turing,23.0,,4.0,PCIe 3.0 x16,2022
Radeon 610M,0,RDNA 2.0,15.0,,,PCIe 4.0 x8,2023
Radeon 660M,0,RDNA 2.0,40.0,,,PCIe 4.0 x8,2023
Radeon 680M,0,RDNA 2.0,50.0,,,PCIe 4.0 x8,2023
Radeon Graphics 128SP,0,RDNA 2.0,15.0,,,PCIe 4.0 x8,2022
Radeon PRO W6300,0,RDNA 2.0,25.0,,2.0,PCIe 4.0 x4,2022
Radeon PRO W6400,0,RDNA 2.0,50.0,,4.0,PCIe 4.0 x4,2022
Radeon RX 6400,0,RDNA 2.0,53.0,,4.0,PCIe 4.0 x4,2022
Radeon RX 6500 XT,0,RDNA 2.0,107.0,1x 6-pin,4.0,PCIe 4.0 x4,2022
Radeon RX 6600S,0,RDNA 2.0,80.0,,4.0,PCIe 4.0 x8,2022
Radeon RX 6650 XT,0,RDNA 2.0,176.0,1x 8-pin,8.0,PCIe 4.0 x8,2022
Radeon RX 6650M,0,RDNA 2.0,120.0,,8.0,PCIe 4.0 x8,2022
Radeon RX 6700S,0,RDNA 2.0,80.0,,8.0,PCIe 4.0 x8,2022
Radeon RX 6750 XT,0,RDNA 2.0,250.0,1x 6-pin + 1x 8-pin,12.0,PCIe 4.0 x16,2022
Radeon RX 6800S,0,RDNA 2.0,100.0,,8.0,PCIe 4.0 x8,2022
Radeon RX 6850M XT,0,RDNA 2.0,165.0,,12.0,PCIe 4.0 x16,2022
Radeon RX 6950 XT,0,RDNA 2.0,335.0,2x 8-pin,16.0,PCIe 4.0 x16,2022
Radeon RX 7900 XT,0,RDNA 3.0,300.0,2x 8-pin,20.0,PCIe 4.0 x16,2022
Radeon RX 7900 XTX,0,RDNA 3.0,355.0,2x 8-pin,24.0,PCIe 4.0 x16,2022
Steam Deck GPU,0,RDNA 2.0,15.0,,16.0,,2022
Arc A310,2,Xe-HPG,30.0,,4.0,PCIe 4.0 x8,2022
Arc A350,2,Xe-HPG,25.0,,4.0,PCIe 4.0 x8,2022
Arc A370M,2,Xe-HPG,35.0,,4.0,PCIe 4.0 x8,2022
Arc A380,2,Xe-HPG,75.0,1x 8-pin,6.0,PCIe 4.0 x8,2022
Arc A550M,2,Xe-HPG,60.0,,8.0,PCIe 4.0 x16,2022
Arc A730M,2,Xe-HPG,80.0,,12.0,PCIe 4.0 x16,2022
Arc A750,2,Xe-HPG,225.0,1x 6-pin + 1x 8-pin,8.0,PCIe 4.0 x16,2022
Arc A770,2,Xe-HPG,225.0,1x 6-pin + 1x 8-pin,16.0,PCIe 4.0 x16,2022
Arc A770M,2,Xe-HPG,120.0,,16.0,PCIe 4.0 x16,2022
Arc Pro A30M,2,Xe-HPG,50.0,,4.0,PCIe 4.0 x8,2022
Arc Pro A40,2,Xe-HPG,50.0,,6.0,PCIe 4.0 x8,2022
Arc Pro A50,2,Xe-HPG,75.0,,6.0,PCIe 4.0 x8,2022
Arctic Sound-M,2,Generation 12.5,500.0,8-pin EPS,16.0,PCIe 4.0 x16,2022
Data Center GPU Flex 170,2,Xe-HPG,150.0,1x 8-pin,16.0,PCIe 4.0 x16,2022
UHD Graphics 48EU Mobile,2,Generation 12.2,45.0,,,Ring Bus,2022
GeForce RTX 4050 Max-Q,4,Ada Lovelace,35.0,,6.0,PCIe 4.0 x8,2023
GeForce RTX 4050 Mobile,4,Ada Lovelace,50.0,,6.0,PCIe 4.0 x8,2023
GeForce RTX 4060,4,Ada Lovelace,115.0,1x 12-pin,8.0,PCIe 4.0 x8,2023
GeForce RTX 4060 Max-Q,4,Ada Lovelace,35.0,,8.0,PCIe 4.0 x8,2023
GeForce RTX 4060 Mobile,4,Ada Lovelace,115.0,,8.0,PCIe 4.0 x8,2023
GeForce RTX 4060 Ti 16 GB,4,Ada Lovelace,165.0,1x 16-pin,16.0,PCIe 4.0 x8,2023
GeForce RTX 4060 Ti 8 GB,4,Ada Lovelace,160.0,1x 16-pin,8.0,PCIe 4.0 x8,2023
GeForce RTX 4070,4,Ada Lovelace,200.0,1x 16-pin,12.0,PCIe 4.0 x16,2023
GeForce RTX 4070 Ti,4,Ada Lovelace,285.0,1x 16-pin,12.0,PCIe 4.0 x16,2023
GeForce RTX 4080 Max-Q,4,Ada Lovelace,60.0,,12.0,PCIe 4.0 x16,2023
GeForce RTX 4080 Mobile,4,Ada Lovelace,110.0,,12.0,PCIe 4.0 x16,2023
GeForce RTX 4090 D,4,Ada Lovelace,425.0,1x 16-pin,24.0,PCIe 4.0 x16,2023
GeForce RTX 4090 Max-Q,4,Ada Lovelace,80.0,,16.0,PCIe 4.0 x16,2023
GeForce RTX 4090 Mobile,4,Ada Lovelace,120.0,,16.0,PCIe 4.0 x16,2023
H100 CNX,4,Hopper,350.0,8-pin EPS,80.0,PCIe 5.0 x16,2023
H100 NVL 94 GB,4,Hopper,400.0,8-pin EPS,94.0,PCIe 5.0 x16,2023
H100 PCIe 96 GB,4,Hopper,700.0,8-pin EPS,96.0,PCIe 5.0 x16,2023
H100 SXM5 64 GB,4,Hopper,700.0,8-pin EPS,64.0,PCIe 5.0 x16,2023
H100 SXM5 94 GB,4,Hopper,700.0,8-pin EPS,94.0,PCIe 5.0 x16,2023
H800 PCIe 80 GB,4,Hopper,350.0,1x 16-pin,80.0,PCIe 5.0 x16,2023
H800 SXM5,4,Hopper,700.0,8-pin EPS,80.0,PCIe 5.0 x16,2023
Jetson AGX Orin 32 GB,4,Ampere,40.0,,32.0,PCIe 4.0 x4,2023
Jetson AGX Orin 64 GB,4,Ampere,60.0,,64.0,PCIe 4.0 x4,2023
Jetson Orin Nano 4 GB,4,Ampere,10.0,,4.0,PCIe 4.0 x4,2023
Jetson Orin Nano 8 GB,4,Ampere,15.0,,8.0,PCIe 4.0 x4,2023
Jetson Orin NX 16 GB,4,Ampere,25.0,,16.0,PCIe 4.0 x4,2023
Jetson Orin NX 8 GB,4,Ampere,20.0,,8.0,PCIe 4.0 x4,2023
L20,4,Ada Lovelace,275.0,1x 16-pin,48.0,PCIe 4.0 x16,2023
L4,4,Ada Lovelace,72.0,,24.0,PCIe 4.0 x16,2023
RTX 2000 Embedded Ada Generation,4,Ada Lovelace,50.0,,8.0,PCIe 4.0 x16,2023
RTX 2000 Max-Q Ada Generation,4,Ada Lovelace,35.0,,8.0,PCIe 4.0 x16,2023
RTX 3000 Mobile Ada Generation,4,Ada Lovelace,115.0,,8.0,PCIe 4.0 x16,2023
RTX 3500 Embedded Ada Generation,4,Ada Lovelace,100.0,,12.0,PCIe 4.0 x16,2023
RTX 4000 Ada Generation,4,Ada Lovelace,130.0,1x 16-pin,20.0,PCIe 4.0 x16,2023
RTX 4000 SFF Ada Generation,4,Ada Lovelace,70.0,,20.0,PCIe 4.0 x16,2023
